question,correct_answer,wrong_answer
what country is turkey in,"Turkey (Turkish : Türkiye ), officially the Republic of Turkey (Turkish : Cumhuriyet Türkiye ), is a transcontinental parliamentary constitutional republic straddling the Anatolian and Euras","['Turkey, officially the Republic of Turkey (Turkish: Türkiye Cumhuriyeti [ˈtyɾki.je dʒyːuˈɾijeti]), is a Eurasian country that stretches across the', 'The Republic of Turkey (Turkish: Türkiye Cumhuriyeti; )', 'Turkey, with its large geographic size and its location as a bridge between two continents, Europe and Asia, is a major player in regional affairs, and a neighbor to several countries that have had major international conflicts such as the recent civil war in']"
"what county is Augusta,GA located in?","Augusta is a city in Georgia, United States.","['Augusta is an historical city in, and the county seat of, Richmond County, Georgia, United States, located in the US state of Georgia on the Savannah, Georgia, River.', 'Augusta is located in the middle of the five core counties of the Central Savannah River Area Augusta-Richmond County, Aiken County, Edgefield County, McCormick County and Orangeburg County, the latter of which compr', 'AUGUSTA, GA.']"
how many albums has eminem sold in his career,Eminem - Wikipedia,"['His combined sales figures in the UK make him the biggest selling male solo artist of all time,', 'As of January 2011, Eminem has sold in excess of 22 million albums worldwide, and has been named one of the bestselling artists in the United States.', 'Eminem has sold more than 172 million albums worldwide.']"
what do pigs eat,"A pig is a domesticated, social, intelligent omnivorous pig.","['Pigs eat almost all kinds of vegetables, grains, fruits, eggs, and even small amounts of meat.', 'Pigs are omnivores, eating a diverse range of foods including eggs, grass, berries, wheat, insects, apples, and carrion.', 'Pigs feed on plants, usually by foraging; rooting with their snouts for food;']"
what does a cutter do,"In baseball , a cutter, or cut fastball, is a type of fastball which breaks slightly toward the pitcher 's glove side as it reaches home plate .","['A cutter is a type of bullpup firearm that has the main components - including', 'An automatic guillotine cutter (French : guillotine is a device used for the rapid, clean separation of stacks of thin sheets of paper (like a book, for example), or similar items, as in a paper', 'Cutters are tools that are used to perform a variety of tasks, such as: -C']"
what it takes aerosmith album,"""What It Takes"" is a power ballad by American hard rock band Aerosmith .","['The album took almost as long to make as it has taken them to live.', 'What It Takes is the ninth studio album by American hard rock band Aerosmith, released on September 27, 1993, by Columbia Records.', ""Released in 1986, Nine Lives is Aerosmith's""]"
what it takes aerosmith album,It was released in 1990 as the third single from Aerosmith's critically and commercially successful 1989 album Pump .,"['Toys in the Attic is the second studio album by American rock band Aerosmith, released in 1975 on Columbia Records.', 'The first single released from that album is ""Hangman Jury""', '""What It Takes"" is the third single by American rock band Aerosmith, released from their eighth studio album, Done with Mirrors (1985).']"
what county is erie colorado,Erie is a statutory town in Boulder and Weld Counties in the U.S. state of Colorado. Erie is a StatutoryTown in Boulder and Weld counties in the U.S,"['Erie, Colorado, is located in northeast Colorado and is the county seat.', 'Erie is the smallest county in Colorado', 'The Erie Depot, also known as Erie Union Depot, Erie Central Depot and Erie Union Train Station, was a major passenger railroad station in Erie, Pennsylvania, from 1911 to 19']"
what classes are considered humanities,"The humanities include ancient and modern languages, literature, philosophy, religion, and visual and performing arts such as music and theatre.","['A large class of humanity often found in a society.', 'The humanities are academic disciplines that study human culture.', ""They're considered the broad spectrum of humanities classes""]"
what classes are considered humanities,"The humanities include ancient and modern languages, literature, philosophy, religion, and visual and performing arts such as music and theatre.","['Humanities (from Greek: ἕν, gene, ""with""; and ερµν, ermus, ""humanity"") is that branch of knowledge which relates to human beings, or the human condition as it', 'The humanities are academic disciplines that study human culture.', 'The humanities encompass several branches of study, including:']"
what classes are considered humanities,"The humanities include ancient and modern languages, literature, philosophy, religion, and visual and performing arts such as music and theatre.","['Literature, language and linguistics [9]', 'A large class of humanity often found in a society.', 'Humanities (from Greek: ἕν, gene, ""with""; and ερµν, ermus, ""humanity"") is that branch of knowledge which relates to human beings, or the human condition as it']"
what classes are considered humanities,"The humanities include ancient and modern languages, literature, philosophy, religion, and visual and performing arts such as music and theatre.","['Examples of Humanities include:', 'Literature, language and linguistics [9]', 'A large class of humanity often found in a society.']"
